title,id,genres,keywords
Blondie,3924,['Comedy'],['blondi']
Four Rooms,5,"['Crime', 'Comedy']","['hotel', ""new year's ev"", 'witch', 'bet', 'hotel room', 'sperm', 'antholog', 'los angeles, california', 'hoodlum', 'woman director']"
Judgment Night,6,"['Action', 'Thriller', 'Crime']","['chicago, illinoi', 'drug deal', 'escap', 'one night', 'box']"
Life in Loops (A Megacities RMX),8,['Documentary'],[]
Star Wars,11,"['Adventure', 'Action', 'Science Fiction']","['android', 'galaxi', 'hermit', 'death star', 'jedi', 'rescue miss', 'rebellion', 'planet', 'smuggler', 'space opera', 'totalitarian']"
Finding Nemo,12,"['Animation', 'Family']","['parent child relationship', 'sydney, australia', 'harbor', 'anthropomorph', 'underwat', 'shark', 'great barrier reef', 'sea turtl', 'missing child', 'aftercreditssting', 'duringcreditssting', 'father son reunion']"
Forrest Gump,13,"['Comedy', 'Drama', 'Romance']","['vietnam veteran', 'hippi', 'washington d.c.', 'mentally dis', 'based on novel or book', 'parent child relationship', 'vietnam war', 'friendship', 'love', 'family relationship', 'militari', 'false histori', 'tragicomedi']"
American Beauty,14,['Drama'],"['adulteri', 'parent child relationship', 'midlife crisi', 'coming out', 'first tim', 'camcord', 'virgin', 'estate ag', 'cheerlead', 'rose', 'satir', 'loneli', 'dark comedi', 'suburbia', 'coming of ag', 'marijuana', 'exercis', 'extramarital affair', 'affair', 'closeted homosexu', 'gay']"
Citizen Kane,15,"['Mystery', 'Drama']","['journalist', 'newspap', 'florida', 'capitalist', 'banker', 'sleigh', 'money', 'black and whit', 'child']"
Dancer in the Dark,16,"['Drama', 'Crime']","['individu', 'danc', 'robberi', 'factory work', 'secret', 'small town', 'blindness and impaired vis', 'immigr', 'naiveti', 'dying and death', 'debt', 'police offic']"
The Dark,17,"['Horror', 'Thriller', 'Mystery']","['suicid', 'paradis', 'child abus', 'sea', 'loss of loved on', 'adolesc', 'parent child relationship', 'wale', 'secret', 'underworld', 'shepherd', 'sheep', 'singl', 'sect']"
The Fifth Element,18,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']","['new york c', 'flying car', 'clone', 'taxi', 'cyborg', 'egypt', 'futur', 'stowaway', 'space travel', 'race against tim', 'arms deal', 'love', 'alien', 'priest', 'end of the world', 'shootout', 'police chas', 'cab driv', 'cult film', 'archaeologist', 'space opera', 'militari', 'opera sing']"
My Life Without Me,20,"['Drama', 'Romance']","['farewel', 'parent child relationship', 'dying and death', 'night shift', 'daughter', 'secret lov', 'respons', 'woman director']"
The Endless Summer,21,['Documentary'],"['surfer', 'surfboard', 'surf', 'tahiti', 'surf', 'cape town, south africa']"
Pirates of the Caribbean: The Curse of the Black Pearl,22,"['Adventure', 'Fantasy', 'Action']","['exotic island', 'blacksmith', 'east india compani', 'gold', 'jamaica', 'skeleton', 'british empir', 'governor', 'pirat', 'swashbuckl', '18th centuri', 'caribbean sea', 'aftercreditssting', 'pirate ship', 'british navi']"
Kill Bill: Vol. 1,24,"['Action', 'Crime']","['japan', 'coma', 'martial art', 'kung fu', 'asia', 'underworld', 'yakuza', 'sword', 'bride', 'reveng', 'animated scen', 'wed', 'samurai sword']"
Jarhead,25,"['Drama', 'War']","['gulf war', 'marine corp', 'saudi arabia', 'petrol', 'kuwait', 'based on memoir or autobiographi', 'u.s. marin', 'anti war']"
9 Songs,27,"['Drama', 'Music', 'Romance']","['london, england', ""rock 'n' rol"", 'condom', 'concert', 'sexual fantasi', 'coupl', 'desir']"
Apocalypse Now,28,"['Drama', 'War']","['cia', 'drug abus', 'journalist', 'based on novel or book', 'guerrilla', 'vietnam', 'vietnam war', 'vietcong', 'cambodia', 'secret miss', 'armi', 'insan', 'epic', 'surreal', 'tribe', 'mission', 'jungl', 'descent into mad', 'brutal', 'riverboat', 'militari', 'anti war']"
Unforgiven,33,['Western'],"['prostitut', 'sheriff', 'regret', 'wyom', 'right and justic', 'kansa', 'reveng', 'mutil', 'one last job', '19th centuri']"
The Simpsons Movie,35,"['Animation', 'Comedy', 'Family']","['parent child relationship', 'garbag', 'pollut', 'environmental protection ag', 'quarantin', 'dysfunctional famili', 'dysfunctional marriag', 'ecolog', 'first lov', 'duringcreditssting']"
Eternal Sunshine of the Spotless Mind,38,"['Science Fiction', 'Drama', 'Romance']","['deja vu', 'regret', 'jealousi', 'amnesia', 'dream', 'oper', 'relationship problem', 'love', 'memori', 'brainwash', 'relationship', 'heartbreak', 'nonlinear timelin', 'tragicomedi']"
Pirates of the Caribbean: Dead Man's Chest,58,"['Adventure', 'Fantasy', 'Action']","['witch', 'fortune tel', 'bondag', 'exotic island', 'monster', 'captain', 'east india compani', 'compass', 'ship', 'daughter', 'sword fight', 'pirat', 'cannib', 'swashbuckl', 'kraken', 'aftercreditssting']"
A History of Violence,59,"['Drama', 'Thriller', 'Crime']","['robberi', 'double lif', 'dual ident', 'small town', 'indiana, usa', 'distrust', 'fight', 'self-defens', 'marriag', 'reveng', 'family relationship', 'mistaken ident', 'diner', 'lawyer', 'mobster', 'violenc', 'attempted robberi', 'based on graphic novel']"
